id,secu_code,market_code,entry_index,strategy_type,strategy_item,strategy_code,strategy_name,strategy_version,entry_price,entry_time,status
﻿640acaaa692645ce81,01269,2,0,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,0.22,2020-06-23,0
﻿1327d96952654557b6,08619,2,1,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,1.8,2020-06-23,0
﻿500acb0ff5524efaae,03389,2,2,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,0.32,2020-06-23,0
﻿0ee664eebb5941c991,02768,2,3,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,3.11,2020-06-23,0
﻿433336ecdae54061ac,01830,2,4,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,2.54,2020-06-23,0
﻿d477a2de8b7d4494a2,06118,2,5,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,4.78,2020-06-23,0
﻿644b67ac40464bd5b5,00345,2,6,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,31.75,2020-06-23,0
﻿0de9420db232422db3,06098,2,7,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,37.05,2020-06-23,0
﻿a28e6945e7b04309ae,00242,2,0,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,3.13,2020-06-23,0
﻿8b90672f1cd4478597,03608,2,1,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,2.18,2020-06-23,0
﻿744fa124261a49aeba,03908,2,2,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,15.2,2020-06-23,0
﻿cec4c8467fc64c67b7,06100,2,3,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,19.36,2020-06-23,0
﻿cb208d122558457d88,01589,2,4,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,3.27,2020-06-23,0
﻿826f4d96b4a040a0aa,06166,2,5,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,3.18,2020-06-23,0
﻿c734a5f2e6dc4e3381,00286,2,6,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,0.57,2020-06-23,0
﻿1c45f18581da4a0c80,01763,2,7,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,21.75,2020-06-23,0
﻿ee6305a0643f43bd83,03333,2,8,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,19.88,2020-06-23,0
﻿c1ac63e56c494c5796,06088,2,9,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,3.06,2020-06-23,0
﻿551f76ca07bd412e9f,00968,2,0,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,7.0,2020-06-23,0
﻿c89acb8d9ea14e1ea5,02001,2,1,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,4.98,2020-06-23,0
﻿1c7a80d3a86340b697,06808,2,2,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,13.1,2020-06-23,0
﻿ea62ca0052f84787b8,01177,2,3,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,14.96,2020-06-23,0
﻿8900fa4a845f4426bb,00772,2,4,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,53.0,2020-06-23,0
﻿67d41f1634df4afbb2,01211,2,5,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,60.45,2020-06-23,0
﻿91ff448a05c04921a9,01579,2,6,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,77.0,2020-06-23,0
﻿fd4b398bb39d4a45af,00535,2,7,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,1.45,2020-06-23,0
﻿fc890054812d4a04b2,03331,2,8,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,27.65,2020-06-23,0
